timestamp,pressure_pa,temperature_c,altitude_raw_m
2026-05-24T16:00:19.061,0.0,0.0,0.0
2026-05-24T16:00:19.162,0.0,0.0,0.0
2026-05-24T16:00:19.262,0.0,0.0,0.0
2026-05-24T16:00:19.363,0.0,0.0,0.0
2026-05-24T16:00:19.463,0.0,0.0,0.0
2026-05-24T16:00:19.564,0.0,0.0,0.0
2026-05-24T16:00:19.664,0.0,0.0,0.0
2026-05-24T16:00:19.764,0.0,0.0,0.0
2026-05-24T16:00:19.865,0.0,0.0,0.0
2026-05-24T16:00:19.966,0.0,0.0,0.0
2026-05-24T16:00:20.066,0.0,0.0,0.0
2026-05-24T16:00:20.166,0.0,0.0,0.0
2026-05-24T16:00:20.267,0.0,0.0,0.0
2026-05-24T16:00:20.367,0.0,0.0,0.0
2026-05-24T16:00:20.468,0.0,0.0,0.0
2026-05-24T16:00:20.568,0.0,0.0,0.0
2026-05-24T16:00:20.669,0.0,0.0,0.0
2026-05-24T16:00:20.769,0.0,0.0,0.0
2026-05-24T16:00:20.870,0.0,0.0,0.0
2026-05-24T16:00:20.970,0.0,0.0,0.0
2026-05-24T16:00:21.071,0.0,0.0,0.0
2026-05-24T16:00:21.171,0.0,0.0,0.0
2026-05-24T16:00:21.275,0.0,0.0,0.0
2026-05-24T16:00:21.376,0.0,0.0,0.0
2026-05-24T16:00:21.476,0.0,0.0,0.0
2026-05-24T16:00:21.577,0.0,0.0,0.0
2026-05-24T16:00:21.677,0.0,0.0,0.0
2026-05-24T16:00:21.778,0.0,0.0,0.0
2026-05-24T16:00:21.878,0.0,0.0,0.0
2026-05-24T16:00:21.979,0.0,0.0,0.0
2026-05-24T16:00:22.079,0.0,0.0,0.0
2026-05-24T16:00:22.180,0.0,0.0,0.0
2026-05-24T16:00:22.280,0.0,0.0,0.0
2026-05-24T16:00:22.381,0.0,0.0,0.0
2026-05-24T16:00:22.481,0.0,0.0,0.0
2026-05-24T16:00:22.582,0.0,0.0,0.0
2026-05-24T16:00:22.682,0.0,0.0,0.0
2026-05-24T16:00:22.783,0.0,0.0,0.0
2026-05-24T16:00:22.883,0.0,0.0,0.0
2026-05-24T16:00:22.984,0.0,0.0,0.0
2026-05-24T16:00:23.084,0.0,0.0,0.0
2026-05-24T16:00:23.185,0.0,0.0,0.0
2026-05-24T16:00:23.285,0.0,0.0,0.0
2026-05-24T16:00:23.386,0.0,0.0,0.0
2026-05-24T16:00:23.486,0.0,0.0,0.0
2026-05-24T16:00:23.586,0.0,0.0,0.0
2026-05-24T16:00:23.687,0.0,0.0,0.0
2026-05-24T16:00:23.787,0.0,0.0,0.0
2026-05-24T16:00:23.888,0.0,0.0,0.0
2026-05-24T16:00:23.988,0.0,0.0,0.0
2026-05-24T16:00:24.089,0.0,0.0,0.0
2026-05-24T16:00:24.189,0.0,0.0,0.0
2026-05-24T16:00:24.290,0.0,0.0,0.0
2026-05-24T16:00:24.390,0.0,0.0,0.0
2026-05-24T16:00:24.491,0.0,0.0,0.0
2026-05-24T16:00:24.591,0.0,0.0,0.0
2026-05-24T16:00:24.692,0.0,0.0,0.0
2026-05-24T16:00:24.792,0.0,0.0,0.0
2026-05-24T16:00:24.893,0.0,0.0,0.0
